annee_scolaire;diplome;libelle_diplome;code_niveau;type_diplome;code_groupe_specialite;libelle_specialite;libelle_specialite_com;id_og;libelle_og;id_etab;nom_complet_cfa;numero_section;duree_formation_mois;annee_formation;id_siteformation;code_uai_site;libelle_lien_cfa;nom_site_formation;adresse1_site;adresse2_site;adresse3_site;code_commune_site_insee;code_postal_site;libelle_ville_site;num_section;age_jeune_decembre;handicap_oui_non_vide;code_sexe;sexe;code_qualite;libelle_qualite;code_nationalite;libelle_nationalite;code_pcs;libelle_pcs_parent;code_statut_jeune;libelle_statut_jeune;code_origine_prec_cfa;libelle_origine_prec_cfa;code_origine_annee_prec;libelle_origine_annee_prec;code_depart_jeune_insee;code_commune_jeune_insee;code_postal_jeune;libelle_ville_jeune;code_naf_entreprise;depart_entreprise;code_insee_entreprise;code_uai_etab_annee_prec
11/12;45033104;Préparateur en pharmacie (BP);4;BP;331;Santé;Santé, sanitaire et social;7;Association des Cours Professionnels de Pharmacie, Santé, Sanitaire, Social et Environnement et Sciences de la Vie;7;CFA Pharmacie, Santé, Sanitaire et Social;9;24;2;17;0912273B;Local du CFA;Centre Hoche;25 rue Hoche;;;91326;91260;JUVISY-SUR-ORGE;9;23;;F;Féminin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;61;2EME ANNEE BTS (en lycée);85;1ERE ANNEE BP OU BM (STATUT APPRENTISSAGE);93;93001;93300;AUBERVILLIERS;4773Z;75;75118;0780293V
11/12;13532634;Sciences de gestion : méthodes informatiques appliquées à la gestion des entreprises (m1 Paris 12);1;MASTER PRO;326;Informatique, traitement de l'information, réseaux de transmission des données;Informatique, réseaux;14;Association pour la Formation Universitaire par l'Apprentissage;14;CFA SUP 2000;287;24;1;556;0942027T;Convention L6231-3;Université Paris Est Créteil - Site de Saint-Simon;71 rue Saint-Simon;;;94028;94017;CRETEIL;287;22;;M;Masculin;E;Externe;1;France;76;Retraite employé et ouvrier;A;Contrat d'apprentissage;65;2EME ANNEE IUT;105;APPRENTISSAGE BAC+3 (STATUT APPRENTISSAGE);93;93053;93130;NOISY-LE-SEC;6419Z;77;77083;0942027T
11/12;13531041;Gestion : administration des entreprises (MASTER Paris i);1;MASTER PRO;310;Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités);Administration et management des entreprises;81;Association des Comptables Enseignement;116;CFA pour l'expertise-comptable - ACE;27;12;1;209;0754674Y;Local du CFA;CFA Expertise Comptable;58 rue du Professeur Gosset;;;75118;75018;PARIS;27;21;;F;Féminin;E;Externe;1;France;56;Personnel, service direct aux particuliers;A;Contrat d'apprentissage;105;APPRENTISSAGE BAC+3 (STATUT APPRENTISSAGE);105;APPRENTISSAGE BAC+3 (STATUT APPRENTISSAGE);77;77288;77000;MELUN;2733Z;94;94048;91
11/12;17025201;Ingénieur diplôme du conservatoire national des arts et métiers, spécialité maintenance de véhicules en partenariat avec L'AFISA (ING);1;ING;252;Moteurs et mécanique auto;Moteurs et mécanique auto;20;Groupement National d'Apprentissage des Métiers de la Réparation de l'Automobile, de la Moto et du Cycle;21;CFA du Garac;20;36;3;51;0951285F;Local du CFA;CFA du GARAC;3 boulevard Galliéni;;;95018;95100;ARGENTEUIL;20;22;;M;Masculin;E;Externe;1;France;22;Commercant et assimilé;A;Contrat d'apprentissage;105;APPRENTISSAGE BAC+3 (STATUT APPRENTISSAGE);117;AUTRE;92;92012;92100;BOULOGNE-BILLANCOURT;4519Z;33;33096;0951285F
11/12;50025215;Maintenance des véhicules automobiles option : véhicules industriels (CAP);5;CAP;252;Moteurs et mécanique auto;Moteurs et mécanique auto;20;Groupement National d'Apprentissage des Métiers de la Réparation de l'Automobile, de la Moto et du Cycle;21;CFA du Garac;24;24;2;51;0951285F;Local du CFA;CFA du GARAC;3 boulevard Galliéni;;;95018;95100;ARGENTEUIL;24;17;;M;Masculin;E;Externe;1;France;61;Ouvrier qualifié;A;Contrat d'apprentissage;23;3EME GENERALE (en collège);73;1ERE ANNEE CAP OU AUTRE DIPLOME DE NIVEAU V (STATUT APPRENTISSAGE);95;95051;95250;BEAUCHAMP;3811Z;92;92044;0951285F
11/12;25031251;Commerce spé management du point de vente (LP Paris 12);2;LICENCE PRO;312;Commerce, vente;Commerce, vente;14;Association pour la Formation Universitaire par l'Apprentissage;14;CFA SUP 2000;185;12;1;501;0941288P;Convention L6231-3;Université Paris Est Créteil - Site de Créteil;61 avenue du Général de Gaulle;;;94028;94010;CRETEIL;185;23;;M;Masculin;E;Externe;1;France;23;Chef d'entreprise de 10 salariés ou plus;A;Contrat d'apprentissage;61;2EME ANNEE BTS (en lycée);61;2EME ANNEE BTS (en lycée);94;94068;94100;SAINT-MAUR-DES-FOSSES;4759A;94;94081;41
11/12;32025515;Electrotechnique (BTS);3;BTS;255;Electricité, électronique (non compris automatismes, productique);Électricité, électronique;242;Association pour l'Insertion des Jeunes dans le Secteur Ferroviaire - AIJF;396;CFA de la SNCF;5;24;2;2315;0750713T;Convention L6231-3;Lycée Jacquard;2 bis rue Bouret;;;75119;75019;PARIS;5;21;N;M;Masculin;D;Demi-pensionnaire;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;53;TERMINALE TECHNOLOGIQUE (en lycée);93;1ERE ANNEE BTS (STATUT APPRENTISSAGE);44;44172;44980;STE LUCE SUR LOIRE;4910Z;35;35238;75
11/12;32025515;Electrotechnique (BTS);3;BTS;255;Electricité, électronique (non compris automatismes, productique);Électricité, électronique;221;Groupement d'Intérêt Public Formation Continue et Insertion Professionnelle - GIP-FCIP;375;CFA Versailles Académie Avenir Apprentissage - V3A;25;24;2;2511;0782565P;UFA (L6232-8);Lycée Jules-Ferry;29 rue du Maréchal Joffre;;;78646;78000;VERSAILLES;25;22;N;M;Masculin;D;Demi-pensionnaire;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;93;1ERE ANNEE BTS (STATUT APPRENTISSAGE);93;1ERE ANNEE BTS (STATUT APPRENTISSAGE);78;78646;78000;VERSAILLES;4222Z;78;78423;0782565P
11/12;40025506;Electrotechnique énergie équipements communicants (BAC PRO);4;BAC PRO;255;Electricité, électronique (non compris automatismes, productique);Électricité, électronique;405;CMA Chambre de Métiers et de l'Artisanat de la  Seine et Marne;461;CFA de la Chambre des Métiers et de l'Artisanat de la Seine-et-Marne;101;36;2;2544;0770998S;Annexe du CFA;CFA de la CMA de la Seine et Marne - Annexe de  Meaux;51 avenue des Sablons Bouillants;Zone Industrielle du SUD;;77284;77100;MEAUX;101;19;N;M;Masculin;D;Demi-pensionnaire;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;47;SECONDE GENERALE OU TECHNOLOGIQUE (en lycée);89;1ERE ANNEE BAC PRO OU BT (STATUT APPRENTISSAGE);77;77284;77100;MEAUX;4321A;77;77284;0772690F
11/12;40025207;Maintenance des véhicules automobiles option : voitures particulières (BAC PRO);4;BAC PRO;252;Moteurs et mécanique auto;Moteurs et mécanique auto;52;Association Régionale pour la Formation Professionnelle Automobile;280;CFA AFORPA - Métiers de l'automobile - M. Mingam;19;36;1;1358;0772311U;UFA (L6232-8);Lycée Georges-Cormier;6 rue des Templiers;;;77131;77120;COULOMMIERS;19;15;;M;Masculin;D;Demi-pensionnaire;1;France;52;Employé civil - agent service fonction publique;A;Contrat d'apprentissage;23;3EME GENERALE (en collège);23;3EME GENERALE (en collège);77;77283;77145;MAY-EN-MULTIEN;4511Z;77;77257;77
11/12;20531007;Sciences de gestion - administration des affaires : sciences de gestion (LIC LMD lille2);2;LIC LMD;310;Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités);Administration et management des entreprises;137;Association pour le Développement par les Entreprises de Sections d'Apprentissage;180;CFA des Sections d'Apprentissage Créées par les Entreprises Franciliennes;25;12;1;1047;0755220S;Convention L6231-3;SKEMA;6 rue Emile Reynaud;;;75119;75019;PARIS;25;20;;M;Masculin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;99;2EME ANNEE DUT (STATUT APPRENTISSAGE);99;2EME ANNEE DUT (STATUT APPRENTISSAGE);91;91432;91420;MORANGIS;6202A;92;92009;993
11/12;32020110;Maintenance industrielle (BTS);3;BTS;201;Techno. de commandes des transformations industrielles (automatismes et robotique industriels,informatique industrielle);Technologies et management de la production;242;Association pour l'Insertion des Jeunes dans le Secteur Ferroviaire - AIJF;396;CFA de la SNCF;4;24;2;2315;0750713T;Convention L6231-3;Lycée Jacquard;2 bis rue Bouret;;;75119;75019;PARIS;4;23;N;M;Masculin;D;Demi-pensionnaire;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;91;2EME ANNEE BAC PRO OU BT (STATUT APPRENTISSAGE);93;1ERE ANNEE BTS (STATUT APPRENTISSAGE);75;75110;75010;PARIS;4910Z;94;94078;75
11/12;32031406;Comptabilité et gestion des organisations (BTS);3;BTS;314;Comptabilité, gestion;Comptabilité, gestion;81;Association des Comptables Enseignement;116;CFA pour l'expertise-comptable - ACE;3;24;2;209;0754674Y;Local du CFA;CFA Expertise Comptable;58 rue du Professeur Gosset;;;75118;75018;PARIS;3;23;;M;Masculin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;45;TERMINALE PROFESSIONNELLE (2EME ANNEE BAC PRO OU BT) (en lycée);95;2EME ANNEE BTS (STATUT APPRENTISSAGE);94;94017;94500;CHAMPIGNY-SUR-MARNE;6920Z;94;94002;0754674Z
11/12;50031105;Conduite routière (CAP);5;CAP;311;Transport, manutention, magasinage;Transport, logistique;169;Association Gestionnaire du CFA des Métiers de la Logistique et du Transport de Savigny le Temple;282;CFA des Métiers de la Logistique et du Transport;2;24;1;1011;0772587U;Local du CFA;CFA des Métiers de la Logistique et des Transport;Rue du Zinc;Zac de Villebouvet;;77445;77176;SAVIGNY-LE-TEMPLE;2;17;;M;Masculin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;89;1ERE ANNEE BAC PRO OU BT (STATUT APPRENTISSAGE);89;1ERE ANNEE BAC PRO OU BT (STATUT APPRENTISSAGE);91;91687;91170;VIRY-CHATILLON;4941A;45;45302;993
11/12;;Ingénieur diplôme du Centre d'études supérieures industrielles-CESI;1;ING;200;Technol. industrielles fondamentales (génie industriel, et procédés de transformation, spécia. à dominante fonctionnelle;Technologies et management de la production;44;Centre de Formation d'Ingénieurs par Alternance - CEFIPA;47;CFA Ingénieurs - CEFIPA;6;36;2;86;0922455U;Local du CFA;Ecole d'Ingénieurs du CESI;93 boulevard de la Seine;;;92050;92000;NANTERRE;6;21;;M;Masculin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;61;2EME ANNEE BTS (en lycée);61;2EME ANNEE BTS (en lycée);95;95176;95240;CORMEILLES-EN-PARISIS;2830Z;45;45273;45
11/12;;Responsable commercial en vente et en mercatique (CNAM);2;DIP2-CNAM;312;Commerce, vente;Commerce, vente;218;Conservatoire National des Arts et Métiers - CNAM;371;CFA du Conservatoire National des Arts et Métiers - CNAM;3;24;2;1672;0932469D;Local du CFA;CFA du Conservatoire National des Arts et Métiers - CNAM;61 rue du Landy;;;93900;93210;LA PLAINE ST DENIS;3;23;;M;Masculin;E;Externe;1;France;99;Non renseigné (inconnu ou sans objet);A;Contrat d'apprentissage;61;2EME ANNEE BTS (en lycée);61;2EME ANNEE BTS (en lycée);93;93047;93370;MONTFERMEIL;6190Z;93;93027;93
11/12;16531008;Diplôme supérieur de management d'entrepreneuriat de l'école ADVANCIA;1;DIP GVM;310;Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités);Administration et management des entreprises;63;Chambre de Commerce et d'Industrie de Paris;368;CFA CCIP - NOVANCIA;33;24;1;1583;0755344B;Annexe du CFA;NOVANCIA;3 rue Armand Moisant;;;75115;75015;PARIS;33;21;;F;Féminin;D;Demi-pensionnaire;1;France;45;Profession intermédiaire administratif Fonction;A;Contrat d'apprentissage;105;APPRENTISSAGE BAC+3 (STATUT APPRENTISSAGE);105;APPRENTISSAGE BAC+3 (STATUT APPRENTISSAGE);75;75106;75006;PARIS;9321Z;77;77258;64
